serve,https://usustatesman.com/wp-content/uploads/2021/02/snac.jpg,"""Service Center Programs""","""Collection of various service groups and programs. Some of the programs run out of the center are SNAC, Best Buddies, Special Olympics, Athletics United, among others.""",“Website: “,https://www.usu.edu/servicecenter/index
rotaract,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""USUSA Rotaract Club""","""USUSA Rotaract Club is a club associated with Rotary International and the Logan Rotary Club. We serve our local and international communities while developing related leadership skills in our members through a framework of friendship and service.""","""Application Link: """,https://www.usu.edu/involvement/clubs/rotaract
cares,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""USUSA Aggie Cares Club""","""Aggie Cares is a service club dedicated to raising funds every semester for foundations and charities across Utah while also providing help for our local community through monthly service projects around Cache Valley.""","""Application Link: """,https://www.usu.edu/involvement/clubs/aggiecaresclub
bestbud,https://usustatesman.com/wp-content/uploads/2017/02/branon--1050x700.jpg,"""USUSA Best Buddies""","""USUSA Best Buddies provides an opportunity for USU Students to work with intellectually and physically disabled adults in our community. We hold fun monthly events that the USU Students and Best Buddies all attend.""","""Application Link: """,https://www.usu.edu/involvement/clubs/bestbuddies
gdays,"https://static.wixstatic.com/media/1150cf_f0ab5d9285314921acff40deeae7f8d6~mv2_d_5013_3208_s_4_2.jpg/v1/fill/w_980,h_627,al_c,q_85,usm_0.66_1.00_0.01/1150cf_f0ab5d9285314921acff40deeae7f8d6~mv2_d_5013_3208_s_4_2.jpg","""USUSA Days for Girls""","""Days for Girls is a non-profit organization that constructs reusable feminine hygiene kits for women all over the world. Each kit is sent off to keep a girl stay in school, work, and break the stigma associated with menstruation. We aid in the cutting, sewing, and assembly of small, sustainable, reusable feminine hygiene kits for school girls in other countries who do not have access to feminine hygiene products.""","""Application Link: """,https://www.usu.edu/involvement/clubs/dayforgirls
